chr	start	end	wt_120h_CHiC_d9	wt_144h_CHiC_merge_d9	wt_168h_CHiC_d9	wt_48h_CHiC_merge_d9	wt_72h_CHiC_d9	wt_96h_CHiC_merge_d9
chr2	74780000	74781000	0.337172522947753	0.428132843533022	0.362228242298709	0.659616148796735	0.456942394409502	0.395301723735988
chr2	74781000	74782000	0.383034419586099	0.447851650619307	0.427311190666632	0.681374010005745	0.558629264972144	0.432996870923484
chr2	74782000	74783000	0.312143315217846	0.409060562708027	0.528457370078314	0.56046849602806	0.512740765264074	0.482745301729088
chr2	74783000	74784000	0.249278066430149	0.344106773374931	0.571302640500106	0.536197787367792	0.509368739314265	0.438422705705923
chr2	74784000	74785000	0.315186544094777	0.378054615065716	0.773853530360955	0.581010532563938	0.453631217638419	0.472867834480201
chr2	74785000	74786000	0.350643755905819	0.457334430054719	0.693481820444737	0.612897866127226	0.431784022016433	0.581864272418745
chr2	74786000	74787000	0.388461197780888	0.493690924792021	0.615420911171957	0.654361434212721	0.468005386301595	0.581918879297167
chr2	74787000	74788000	0.473348070263172	0.507677697578207	0.591003697325005	0.698071918106958	0.602036898433285	0.619559244564816
chr2	74788000	74789000	0.444225145203735	0.602693038307608	0.604910241309749	0.74600098408027	0.620938171028443	0.604934434411533
chr2	74789000	74790000	0.417800981606748	0.582533643012939	0.417944217946862	0.674171739908542	0.662735328717164	0.542424946699779
chr2	74790000	74791000	0.440799823219841	0.513974814834967	0.41612008514262	0.581166453771507	0.656930900315772	0.426780937784934
chr2	74791000	74792000	0.422101316095626	0.501220406308017	0.429146649038279	0.572533645238975	0.485392042633597	0.423501247304403
chr2	74792000	74793000	0.495513688632967	0.407030728833686	0.503527598920309	0.593684774456489	0.356987821733744	0.34419278689728
chr2	74793000	74794000	0.499181486530516	0.283555803904304	0.430365689643775	0.502968160957202	0.278160699255313	0.30690467487969
chr2	74794000	74795000	0.48073156571951	0.230121158243891	0.437055215540193	0.459415139604761	0.210396488794226	0.277313400135779
chr2	74795000	74796000	0.418918254240756	0.307527257939951	0.526745271624214	0.487919728474474	0.264399640714219	0.334479148731965
chr2	74796000	74797000	0.340622289138945	0.241512410818444	0.547927522276828	0.395532813647638	0.29714914855306	0.257925446428122
chr2	74797000	74798000	0.18208324921051	0.222624674155231	0.358719735731543	0.296126007737928	0.269904402214558	0.185429485911379
chr2	74798000	74799000	0.170215520943176	0.251671101398031	0.325305387472818	0.309227332345373	0.275926037030127	0.208350498826603
chr2	74799000	74800000	0.157605475700251	0.264330246486451	0.321626900150509	0.364633683067631	0.305295349156131	0.2159776746329
chr2	74800000	74801000	0.136219673846822	0.232045575055151	0.201550806990568	0.330665479317164	0.317654828062897	0.172370042145106
chr2	74801000	74802000	0.107150907969993	0.298168537160181	0.132621179751851	0.348208371320514	0.305777597352282	0.200880342822775
chr2	74802000	74803000	0.105387551468887	0.367729635297449	0.137716842466038	0.355611003668248	0.350574773910718	0.243690118283111
chr2	74803000	74804000	0.129348732996651	0.425497100693242	0.160990329910537	0.340909202075301	0.385586534992656	0.258181145063978
chr2	74804000	74805000	0.126520845060368	0.455606248715379	0.171502051451755	0.297424223237559	0.32793889227735	0.276587679995837
chr2	74805000	74806000	0.16337679565363	0.374369703052479	0.134233557201942	0.245119322014029	0.257163283853958	0.267189531201755
chr2	74806000	74807000	0.239958638357809	0.324184009315764	0.152732926229371	0.277915743343564	0.283226623503359	0.386264910931099
chr2	74807000	74808000	0.248461550803871	0.293235781161926	0.166042848783501	0.297230846686991	0.239610368209528	0.428680412111401
chr2	74808000	74809000	0.246166794351808	0.285010411109115	0.227071977070489	0.323675297821377	0.210570107287344	0.441899964946886
chr2	74809000	74810000	0.281170242462176	0.294429806337085	0.290369655350562	0.420390424414375	0.290344401939975	0.486919257085325
chr2	74810000	74811000	0.343183004053787	0.355207925075239	0.321980659821075	0.556801184836472	0.340223413228814	0.53524529282876
chr2	74811000	74812000	0.320021324163634	0.376240456854213	0.339007089852117	0.531758331352047	0.289855489176528	0.404525048279104
chr2	74812000	74813000	0.356421977028235	0.353025479178741	0.299954045914977	0.512182953741754	0.357787746910678	0.355201281055845
chr2	74813000	74814000	0.396753069576855	0.317041344355453	0.229607588476075	0.509000592013677	0.421494550053559	0.337524275225012
chr2	74814000	74815000	0.397014969686087	0.338179401496511	0.181007832807287	0.452081009822669	0.4097486852496	0.322060866990935
chr2	74815000	74816000	0.329317785508507	0.315696263570438	0.160990329910537	0.364388152482832	0.382987075206189	0.281196669003126
chr2	74816000	74817000	0.370628261384131	0.331697664459414	0.203698463282001	0.364403362872978	0.437261047610598	0.37909556273315
chr2	74817000	74818000	0.438676530989814	0.46017542107695	0.241485494865806	0.517653431214091	0.425627238308554	0.473635004023046
chr2	74818000	74819000	0.495642993144616	0.52951744768401	0.270304545003556	0.577660960599499	0.465196940106229	0.527781033714708
chr2	74819000	74820000	0.566618509912654	0.54503368319604	0.253078996439568	0.579092715704241	0.515328159696067	0.526681285890072
chr2	74820000	74821000	0.597252867951821	0.535860132833731	0.241485494865806	0.670643683823825	0.550635011906395	0.604290846826801
chr2	74821000	74822000	0.608135295973646	0.54918144844654	0.18591341899358	0.686502718157024	0.485572023310744	0.553773065678226
chr2	74822000	74823000	0.555942392076197	0.556105062676648	0.321980659821075	0.620723004371704	0.466104370742958	0.506657233191353
chr2	74823000	74824000	0.490180933959507	0.546395451245134	0.317258851023019	0.55399489285595	0.397248353373771	0.5507069284577
chr2	74824000	74825000	0.40411876693089	0.518708911599076	0.318101374762989	0.508243468157444	0.356346450482228	0.522010875666954
chr2	74825000	74826000	0.370628261384131	0.534453225466532	0.362228242298709	0.393139634105295	0.35922688315691	0.433949120002639
chr2	74826000	74827000	0.279127379380269	0.520259060870883	0.370216035383912	0.404614033857325	0.373579331864634	0.412013721015547
chr2	74827000	74828000	0.243646415942031	0.429702426010882	0.333529216677612	0.4307481289859	0.378251390289549	0.431150630479846
chr2	74828000	74829000	0.261460342026282	0.450272731466271	0.404670007621697	0.51459241877017	0.428311386478846	0.45499442422934
chr2	74829000	74830000	0.35557111910198	0.53183797648028	0.366107527356794	0.553314314814553	0.448788956696648	0.551598639865927
chr2	74830000	74831000	0.333565435245718	0.539944827681323	0.376900169775615	0.618064205233965	0.498994339402261	0.6135621881579
chr2	74831000	74832000	0.367233418070199	0.551631010223915	0.364042075656188	0.632625221522296	0.477334965921289	0.690340909073155
chr2	74832000	74833000	0.452306972823294	0.493953109838314	0.229936938009268	0.511753297018913	0.453006026957289	0.657663891821129
chr2	74833000	74834000	0.510861969096625	0.381101375771418	0.120742747432903	0.409727840966639	0.387017939894173	0.553420314093873
chr2	74834000	74835000	0.42632055039635	0.281410752168856	0.120742747432903	0.362558771217337	0.328942636917171	0.525325564322566
chr2	74835000	74836000	0.58317106342635	0.253436023709237	0.229159285386062	0.335595507516249	0.296182222927416	0.51995606828676
chr2	74836000	74837000	0.598645213496542	0.224767767894245	0.354262086937721	0.332481702399425	0.319267623283561	0.484534222719479
chr2	74837000	74838000	0.637484733858916	0.263372336034111	0.441829016532252	0.368144877938089	0.365175023168455	0.458734293728439
chr2	74838000	74839000	0.579338754949892	0.285526237425236	0.475121876136389	0.377465105161623	0.380702060948634	0.448689171351647
chr2	74839000	74840000	0.636783438853897	0.28065356408445	0.512233524340754	0.391171690504581	0.425773366928674	0.394653987136956
chr2	74840000	74841000	0.610694692608314	0.30832718344157	0.408660422911242	0.410110612010544	0.43924225977194	0.383115856075896
chr2	74841000	74842000	0.583869681248181	0.307517818390676	0.388985653996393	0.363587653027972	0.448040488072377	0.380260021334975
chr2	74842000	74843000	0.445577532019589	0.263663591230156	0.524112962930971	0.317323778995668	0.36441707816953	0.365915835793206
chr2	74843000	74844000	0.405101169370264	0.34750964406687	0.504707878855131	0.355639179955023	0.319875478609153	0.400136717959614
chr2	74844000	74845000	0.475101345298496	0.40019990186217	0.52940864542984	0.417870876980396	0.32937792506031	0.454336881582311
chr2	74845000	74846000	0.325710115640274	0.460712160973139	0.584228457754518	0.426684835287435	0.272898398400479	0.45281444665796
chr2	74846000	74847000	0.337958154419409	0.492540637273298	0.540011672260855	0.431443430686602	0.232406338385251	0.457185980910822
chr2	74847000	74848000	0.432904290535793	0.550388362649123	0.410854151058019	0.4673486848676	0.287608606249778	0.478068525660147
chr2	74848000	74849000	0.49701510874501	0.509233200256887	0.499475333069617	0.424116564181098	0.298314044369335	0.45730267957923
chr2	74849000	74850000	0.407691087522544	0.483137280926388	0.564405073528538	0.332323300372838	0.220155825933617	0.429403468579327
chr2	74850000	74851000	0.44643143903073	0.435657876368334	0.454133788721194	0.293177703045112	0.216994709174689	0.448160953847582
chr2	74851000	74852000	0.572604092283491	0.451551665029053	0.423144422081759	0.315581965221637	0.294460616383353	0.505363820023511
chr2	74852000	74853000	0.456603536786122	0.437827998990909	0.404685801209262	0.303059473727692	0.272265438419502	0.486638141871213
