chr	start	end	wt_48h_CHiC_merge_CBS1	wt_48h_CHiC_merge_CBS2	wt_48h_CHiC_merge_CBS3	wt_48h_CHiC_merge_CBS4	wt_48h_CHiC_merge_CBS5	wt_48h_CHiC_merge_CBS6
chr2	75135000	75136000	0.924728115575151	0.777123213645765	0.613569352779819	0.453068499921532	0.456545936066255	0.314669130576243
chr2	75136000	75137000	1.1080638780846	0.874137426891131	0.631835050838277	0.571125559161143	0.54388939006886	0.425651317871316
chr2	75137000	75138000	1.10633055065362	0.86933764302398	0.580479422289696	0.579447276010477	0.533520069222427	0.432352044949518
chr2	75138000	75139000	1.10834066046878	0.860862825347617	0.627549579785435	0.643119562094766	0.537862277362821	0.420660630964724
chr2	75139000	75140000	1.15472774903828	0.861112988964729	0.691873615873049	0.836097017177045	0.571427443545968	0.446636021313401
chr2	75140000	75141000	1.17187865649189	0.925903301769784	0.799663063699963	0.932794899493483	0.635230402092081	0.444363373812244
chr2	75141000	75142000	1.12979238897478	0.93377221246588	0.889984844903098	0.910089710917642	0.642181301805596	0.388181041410414
chr2	75142000	75143000	1.35234528313042	1.11940167932612	1.02457605594513	1.04819377923336	0.695925358770485	0.4365079588346
chr2	75143000	75144000	1.38458329261276	1.1968188106835	1.02728017993363	1.04365930929315	0.768819380674322	0.467190657200217
chr2	75144000	75145000	1.25491920405346	1.17064070864523	0.937267862869566	0.929979637278415	0.799222278906225	0.431506865666221
chr2	75145000	75146000	1.3161563885976	1.14963675294871	0.915491298324387	0.906648127211566	0.710734287513518	0.445199131875055
chr2	75146000	75147000	1.20036165065973	1.05749133127194	0.885446613570971	0.885504025159172	0.738125199495315	0.493729358798065
chr2	75147000	75148000	0.940999282686717	0.914075157823668	0.727927808388997	0.71447097773407	0.767051038035877	0.4324725586996
chr2	75148000	75149000	1.05124872410745	1.08665268123697	0.89679822606921	0.813716767231545	0.738398204547472	0.47032178597012
chr2	75149000	75150000	1.09110388030523	1.05326213712409	0.893639379715809	0.765345342293834	0.696450266116487	0.450584237070534
chr2	75150000	75151000	0.966738986965204	0.972292818864011	0.844866302907496	0.725712362791952	0.72070742789971	0.435777983470127
chr2	75151000	75152000	1.0625132773484	1.0407739548206	0.822839194101102	0.712167341654741	0.625028818630544	0.36886569917058
chr2	75152000	75153000	1.16873711155813	0.998708448763204	0.880758431639438	0.809199589488823	0.607578281840528	0.405053796871774
chr2	75153000	75154000	1.0550544528887	0.775772168272281	0.741264650728597	0.76822536067398	0.633249115156698	0.394396820127494
chr2	75154000	75155000	1.05902307857253	0.792908303146217	0.750977096174768	0.747812667854464	0.646613204046503	0.433997948270758
