chr	start	end	wt_120h_CHiC_d1-d4	wt_144h_CHiC_d1-d4	wt_168h_CHiC_d1-d4	wt_48h_CHiC_d1-d4	wt_72h_CHiC_d1-d4	wt_96h_CHiC_d1-d4
chr2	74780000	74781000	0.990846544813046	1.02170914052318	0.92748683697398	1.06025939759239	0.849847252844948	1.59731733098718
chr2	74781000	74782000	1.07492453449126	1.10445391762806	0.957473233559442	1.04326432745	0.868742568561201	1.60156303693092
chr2	74782000	74783000	1.06855143151316	1.01506989287555	0.927317840365776	1.11104180886963	0.870739321923883	1.5206837058226
chr2	74783000	74784000	1.07645705971919	1.03534558126738	0.852559506833174	1.06990658259861	0.816038284733615	1.40020460012279
chr2	74784000	74785000	1.03965689023536	0.937164103834066	0.847534948033195	1.02505014521598	0.763271600076338	1.27178656967497
chr2	74785000	74786000	1.14661688354834	1.10720085628928	0.95179091181599	1.17631694716987	0.91059499075041	1.42720394433353
chr2	74786000	74787000	1.19672011751641	1.18754039663612	0.983695050680773	1.24346992712237	1.02226729619663	1.53755892043258
chr2	74787000	74788000	1.31390437683494	1.30962961082565	1.06185807819411	1.26526952623673	1.08403062600244	1.73296180753431
chr2	74788000	74789000	1.33002109691532	1.2136812758484	1.10173047508309	1.27703042761727	1.13269117756254	1.791822417528
chr2	74789000	74790000	1.21854863695182	1.09866128218891	1.01157325905015	1.14962303057804	1.06643029654991	1.63058588905234
chr2	74790000	74791000	1.1129980125903	0.948516393846783	0.868394478238264	1.00044507603534	0.918830862936211	1.45095104490081
chr2	74791000	74792000	1.02918837004678	0.855357724475899	0.819831416188148	0.960795307148476	0.785895736957531	1.41699368092792
chr2	74792000	74793000	0.97611935887329	0.784582817704274	0.68364583775322	0.903609508088178	0.768069601664685	1.31756903376429
chr2	74793000	74794000	0.85742250257705	0.688414568558465	0.582536565552246	0.742776646963582	0.662286526237631	1.13745110609095
chr2	74794000	74795000	0.811697032912605	0.659844978583189	0.528180688359762	0.673991471895172	0.592339541765684	1.09002610779417
chr2	74795000	74796000	0.898752604284451	0.744104809230985	0.604663411802878	0.743084530992935	0.67273899205314	1.20484867699947
chr2	74796000	74797000	0.845064073136623	0.704130692029235	0.562945023648629	0.690938841017417	0.663374395567888	1.06416310383674
chr2	74797000	74798000	0.658726500028479	0.559243950048429	0.499057340915925	0.521030552525237	0.528768287517713	0.84411846130068
chr2	74798000	74799000	0.675374637782581	0.626262169884657	0.530625113059609	0.568250690476577	0.538267118897848	0.909323540850506
chr2	74799000	74800000	0.788892938963611	0.717234742209259	0.648008172627738	0.635925820316395	0.562069352667244	0.993151912485361
chr2	74800000	74801000	0.713322688855803	0.717002501108118	0.616196848854612	0.588097940033194	0.499510824621922	0.907267104301445
chr2	74801000	74802000	0.685878800580808	0.745403372978473	0.590953953176988	0.567067074040464	0.509098583634537	0.892569820099613
chr2	74802000	74803000	0.691848940124183	0.784885405448746	0.602010782677906	0.620635121748839	0.539400052394331	0.911999102607643
chr2	74803000	74804000	0.73639113930566	0.752356489749903	0.594670138956993	0.633610889321225	0.564353222125035	0.881194912736009
chr2	74804000	74805000	0.637424378714445	0.718996930202655	0.478624489113017	0.611502069294766	0.567269476862904	0.868595818737555
chr2	74805000	74806000	0.553784577067709	0.586193432082571	0.404931376589516	0.521510549387273	0.491729637652056	0.76235613022257
chr2	74806000	74807000	0.662800785103044	0.650936024064683	0.484142285247991	0.579516151633295	0.535834195352573	0.862225085710795
chr2	74807000	74808000	0.682982247614425	0.67771753891725	0.543238787086055	0.564738542455089	0.548363214227004	0.877591634954534
chr2	74808000	74809000	0.677118469208696	0.685919420802204	0.593975840270539	0.567322928639353	0.564313559525015	0.923801786485943
chr2	74809000	74810000	0.808432610548449	0.770555287975143	0.758769109287402	0.693588663148547	0.677985399060703	1.10482368890254
chr2	74810000	74811000	0.961984743893062	0.884111746152912	0.875243340622429	0.80730691851158	0.767088682222022	1.36857573086839
chr2	74811000	74812000	0.860631501139028	0.724449467397832	0.802546608646324	0.757855492017213	0.700312630359466	1.31548879467225
chr2	74812000	74813000	0.80991864433111	0.704885965138637	0.779772313334879	0.712273599768745	0.677518458228606	1.28279826518978
chr2	74813000	74814000	0.780683950851576	0.724464683464988	0.773833291328407	0.666781742818498	0.682043494374828	1.26009225345629
chr2	74814000	74815000	0.711318624151549	0.658243432433089	0.694338557381267	0.56005015141278	0.667459041540098	1.14586004925601
chr2	74815000	74816000	0.622039399105272	0.603472417110874	0.640344461517292	0.48981859047074	0.6236321643106	0.964778811418987
chr2	74816000	74817000	0.720568700340716	0.727807712810633	0.71470867880096	0.556191255218562	0.693794068195167	1.05733041557076
chr2	74817000	74818000	0.975819271487549	0.958553711059785	0.832847860774025	0.813591510780381	0.866765966607905	1.47772522880496
chr2	74818000	74819000	1.04137483394276	1.00766906505844	0.88033391980127	0.898115528460706	0.907825455347024	1.60336826392737
chr2	74819000	74820000	1.03996461657329	1.00033232256551	0.885390024471989	0.916495902167254	0.858084268499387	1.61174578867163
chr2	74820000	74821000	1.09421488937862	1.12811451052765	0.90794327465829	0.99149000841152	0.866982233267419	1.73914984856967
chr2	74821000	74822000	1.04386940557498	1.14269103248191	0.882221757294069	0.960397344395814	0.829346293430957	1.76392018782115
chr2	74822000	74823000	0.993264594056406	1.00267474410662	0.793792412602271	0.824691096535354	0.773365187432852	1.54317911189419
chr2	74823000	74824000	1.01263198826035	1.0183265847666	0.771946114405119	0.834605861579202	0.777980948050832	1.62622750081608
chr2	74824000	74825000	0.943676486807673	0.997717146595618	0.712084307292819	0.768239858862635	0.684612799561048	1.54628282989884
chr2	74825000	74826000	0.827631573459304	0.812760859080521	0.635585394527854	0.646444966465962	0.637239010656957	1.35284891984469
chr2	74826000	74827000	0.832445057544064	0.783670247999518	0.628275613068025	0.622863873738103	0.642297869790964	1.23649104517539
chr2	74827000	74828000	0.756934037140277	0.78734141178898	0.604892348919306	0.614522165776951	0.62196209540208	1.16120044272619
chr2	74828000	74829000	0.811785641550697	0.884543227236385	0.659854175320605	0.704011350886082	0.64560746009946	1.2515160562521
chr2	74829000	74830000	1.01118390085896	1.06781412646817	0.774149645529413	0.818655010713037	0.798874609100986	1.43812515348327
chr2	74830000	74831000	1.17332209994652	1.16720682222563	0.850061275234613	0.91068733246882	0.850775459526273	1.59347999900459
chr2	74831000	74832000	1.18930758340319	1.11925709986106	0.8486797422831	0.92643912483163	0.852326707160157	1.68457760083481
chr2	74832000	74833000	1.11963734826564	1.0188374557159	0.855852019311656	0.844243548817515	0.774109129766591	1.55446198335511
chr2	74833000	74834000	1.01788567961315	0.839592424351931	0.776182311380211	0.67203357140254	0.691965754899488	1.21183421470035
chr2	74834000	74835000	0.933117745425055	0.722712380171263	0.677555834105824	0.613339000904754	0.653465880666579	1.12025004817094
chr2	74835000	74836000	0.93752041248701	0.743370065995658	0.750584864048481	0.63475883284661	0.670914012363036	1.08950677181111
chr2	74836000	74837000	0.982792313523822	0.761560610308821	0.796309025169274	0.641824837813497	0.667552457802788	1.0351770855098
chr2	74837000	74838000	1.12603330602975	0.830458153951036	0.824186465852701	0.744028134119	0.723119145093244	1.20244339913053
chr2	74838000	74839000	1.12092639112765	0.850417790085518	0.809996994087476	0.757581852141952	0.710075661897099	1.23303798097716
chr2	74839000	74840000	1.06253446474904	0.798885583673296	0.813096719488642	0.711010282942131	0.646699658695751	1.10553529275985
chr2	74840000	74841000	1.00274656780543	0.780590846874433	0.739723731359441	0.666990577506375	0.654553021045258	1.07906241240799
