chr	start	end	wt_120h_CHiC_d9	wt_144h_CHiC_d9	wt_168h_CHiC_d9	wt_48h_CHiC_d9	wt_72h_CHiC_d9	wt_96h_CHiC_d9
chr2	74780000	74781000	0.337172522947753	0.254869408391773	0.362228242298709	0.591045873592934	0.456942394409502	0.294768803119757
chr2	74781000	74782000	0.383034419586099	0.217679466387704	0.427311190666632	0.622178793003577	0.558629264972144	0.360771715857645
chr2	74782000	74783000	0.312143315217846	0.216343088924366	0.528457370078314	0.582155096628212	0.512740765264074	0.448102670084008
chr2	74783000	74784000	0.249278066430149	0.198111256452045	0.571302640500106	0.495534778365098	0.509368739314265	0.40727839897285
chr2	74784000	74785000	0.315186544094777	0.285090658397426	0.773853530360955	0.512085950695549	0.453631217638419	0.470797515869731
chr2	74785000	74786000	0.350643755905819	0.407633567849779	0.693481820444737	0.576856903873912	0.431784022016433	0.575994732321736
chr2	74786000	74787000	0.388461197780888	0.51611905300935	0.615420911171957	0.755261471010033	0.468005386301595	0.592100307479174
chr2	74787000	74788000	0.473348070263172	0.451088654286768	0.591003697325005	0.821745098357372	0.602036898433285	0.595007942480129
chr2	74788000	74789000	0.444225145203735	0.555921759473003	0.604910241309749	0.952643126197097	0.620938171028443	0.632716082002457
chr2	74789000	74790000	0.417800981606748	0.452301538177567	0.417944217946862	0.931636164042605	0.662735328717164	0.583191333285918
chr2	74790000	74791000	0.440799823219841	0.37414824585475	0.41612008514262	0.867517853808693	0.656930900315772	0.493671504188074
chr2	74791000	74792000	0.422101316095626	0.369094788707102	0.429146649038279	0.741706667171405	0.485392042633597	0.436794469082724
chr2	74792000	74793000	0.495513688632967	0.348853445358894	0.503527598920309	0.753651708082618	0.356987821733744	0.443021465428983
chr2	74793000	74794000	0.499181486530516	0.259241504025039	0.430365689643775	0.587493109694589	0.278160699255313	0.369162628439562
chr2	74794000	74795000	0.48073156571951	0.246914000384131	0.437055215540193	0.493862735767241	0.210396488794226	0.316032519284481
chr2	74795000	74796000	0.418918254240756	0.35735791089473	0.526745271624214	0.477289780260695	0.264399640714219	0.333471957325479
chr2	74796000	74797000	0.340622289138945	0.253925882882807	0.547927522276828	0.36442725460006	0.29714914855306	0.30167132822107
chr2	74797000	74798000	0.18208324921051	0.19595250988423	0.358719735731543	0.186197334836576	0.269904402214558	0.173495972185838
