chr	start	end	wt_48h_CHiC_CBS1	wt_48h_CHiC_CBS2	wt_48h_CHiC_CBS3	wt_48h_CHiC_CBS4	wt_48h_CHiC_CBS5	wt_48h_CHiC_CBS6
chr2	75135000	75136000	1.19858179734135	0.936649458741126	0.640096286829328	0.555644056352133	0.619885963206495	0.215289823737146
chr2	75136000	75137000	1.5455105133928	1.20812497719178	0.702801950112891	0.664072220027	0.617550166406543	0.424084814369426
chr2	75137000	75138000	1.55044995873724	1.22137247261764	0.580568835677812	0.580172470424692	0.558828714524526	0.474865868930166
chr2	75138000	75139000	1.49960505501336	1.12434018430427	0.556511689749595	0.604523309518821	0.55153490262685	0.522210450274861
chr2	75139000	75140000	1.54659062653981	1.08959530581033	0.646613658686173	0.772702297068976	0.65745681513463	0.543156672257815
chr2	75140000	75141000	1.48693587345584	1.12482656933851	0.852256536812849	0.885436224381847	0.727280386091372	0.531269917232893
chr2	75141000	75142000	1.35469826794384	1.04581271586193	1.03915067882428	0.855716668057418	0.929439816845683	0.453887630401962
chr2	75142000	75143000	1.66582284412744	1.30377785868586	1.36421390659275	1.06102571545541	0.979774620676849	0.49650343745452
chr2	75143000	75144000	1.79606984097702	1.448769449308	1.45450624013925	1.11173317290848	0.990320362615066	0.532585459870546
chr2	75144000	75145000	1.57804664815958	1.41085907223644	1.34012911266109	1.06426289518709	0.889880279095947	0.542888729521949
chr2	75145000	75146000	1.71857349947931	1.32829063070819	1.2644805172483	1.11018915148208	0.700472994599582	0.587054106567192
chr2	75146000	75147000	1.51512613030709	1.31716178098969	1.24125374939715	1.15206437953527	0.6651585757225	0.579365808060021
chr2	75147000	75148000	1.16925910845081	1.23598448333535	0.991220404243766	0.913463534676238	0.816621631375262	0.513171021868979
chr2	75148000	75149000	1.13562194042572	1.55708443489353	1.16013637056186	0.943831443637054	0.962827514696537	0.615559413434436
chr2	75149000	75150000	1.24664165001928	1.47257861169516	1.18221892897656	0.827605820319018	0.927641551347979	0.570601639044385
chr2	75150000	75151000	1.08108954395587	1.37437555187015	1.18556530614908	0.7122910595609	1.00009993945778	0.544700034937836
chr2	75151000	75152000	1.31072640780623	1.30631198927182	1.09540621910748	0.727236635285259	0.864502280054899	0.482696256691067
chr2	75152000	75153000	1.44135849767471	1.17546235534315	1.08165215022499	0.874374093784587	0.812237051153093	0.547679531835912
chr2	75153000	75154000	1.4120025722075	0.736549707801985	1.00564912054626	0.898825397675296	0.651364082552824	0.402299987183129
chr2	75154000	75155000	1.40623987253028	0.772502400774836	0.949144035057585	0.937339441567696	0.628781326690194	0.445089350480654
