chr	start	end	Del(CBS1-5)_96h_CHiC_d11	Del(CBS1-5)_96h_CHiC_d13	Del(CBS1-5)_96h_CHiC_d9	wt_96h_CHiC_d11	wt_96h_CHiC_d13	wt_96h_CHiC_d9
chr2	74721000	74722000	1.02172753213954	0.868369881960964	1.49254019811907	0.81509104520085	0.649542184684288	1.168518487476
chr2	74722000	74723000	1.22009827487896	0.867570555417506	1.74472568164945	0.905053166646437	0.747577200911634	1.37334287565414
chr2	74723000	74724000	1.29651073861454	0.823041229693551	1.76409525244781	0.831558485655002	0.653947560083712	1.54194568185385
chr2	74724000	74725000	1.40492132497361	0.840872633898702	1.87687637461442	0.837484727663557	0.623103332754868	1.86367355056572
chr2	74725000	74726000	1.37903615067861	0.834908508984104	1.85432396643592	0.829053328013379	0.593638273964244	1.79497883991819
chr2	74726000	74727000	1.34211399212996	0.801239795245723	1.92878756147288	0.818191946957242	0.530366894442142	1.72898461847008
chr2	74727000	74728000	1.26001689729523	0.795719366509237	1.70341066771485	0.711057392945403	0.381316384822554	1.5663398366947
chr2	74728000	74729000	1.15274356318852	0.654358999583556	1.5677675976283	0.667130871856481	0.388298426173452	1.34302319796711
chr2	74729000	74730000	1.17709442320946	0.602084430521749	1.72570110971401	0.628022818116465	0.475168811247239	1.16049446650183
chr2	74730000	74731000	1.2884125101992	0.530279801088757	2.00992138414039	0.635329901133897	0.468273228416121	1.24039589285781
chr2	74731000	74732000	1.29866156606812	0.501557066740697	1.9687466875762	0.626143406494853	0.484660783164838	1.20622879021983
chr2	74732000	74733000	1.2337652406236	0.528690173768351	1.87084842697052	0.655569552395392	0.517105493406526	1.12556401931824
chr2	74733000	74734000	1.35478639360258	0.579824606312114	1.77295400545663	0.7503373684729	0.501249572874105	1.12732984597493
chr2	74734000	74735000	1.36636858868498	0.558944001257742	1.81832864108365	0.7778459923792	0.459594526080537	1.13264874522226
chr2	74735000	74736000	1.26203604727749	0.6844886272635	1.90177637282249	0.759187112090542	0.529041995412728	1.13627141050165
chr2	74736000	74737000	1.40975554474644	0.755697978750165	2.29087246091905	0.843992284749389	0.645053727168311	1.39690904090615
chr2	74737000	74738000	1.51686156484115	0.83980477849139	2.56187026698965	0.8761291424603	0.709078187757023	1.6281983500346
chr2	74738000	74739000	1.42036757978337	0.959453168585313	2.74727404663648	0.848558485255528	0.747520529380733	1.7330651740747
chr2	74739000	74740000	1.3339849183262	0.928793773028051	2.27793853888925	0.769252897498721	0.699654531036195	1.75023163233201
chr2	74740000	74741000	1.50336717700424	0.964854796687605	2.11459345780798	0.70836181406182	0.743421619644527	1.81999938180932
chr2	74741000	74742000	1.40103040525913	0.950831286743574	1.88162257840881	0.862095071139848	0.68414020708456	1.70697448551155
chr2	74742000	74743000	1.47393605356361	1.04546458260555	1.90494745610557	0.95139223410741	0.754128180518413	1.69366681090791
chr2	74743000	74744000	1.49105309360617	0.98840418117999	1.78562525986524	0.972818986988514	0.731345123708236	1.59480418086279
chr2	74744000	74745000	1.61204987595089	1.07075379625043	2.13401187242903	1.05401998262547	0.912401101026507	1.47496306685455
chr2	74745000	74746000	1.50278162948409	1.15320321065182	2.06335612606497	1.12367812821797	0.805633630527433	1.36908709544696
chr2	74746000	74747000	1.52019028030379	1.23256885033318	1.89674494945256	0.964092723263792	0.776022724047286	1.26052617615022
chr2	74747000	74748000	1.36540806700441	1.05957961167697	1.60522362408669	0.897021572756974	0.663478236014134	1.104453693661
chr2	74748000	74749000	1.4242331829965	0.953762015849791	1.67040410324651	0.849577272674649	0.625348459073228	1.27431656973086
chr2	74749000	74750000	1.29745752091122	1.05076552976277	1.53872995540577	0.778431434917171	0.554305192871548	1.3863692655304
