chr	start	end	wt_120h_CHiC_d9	wt_144h_CHiC_d9	wt_168h_CHiC_d9	wt_48h_CHiC_d9	wt_72h_CHiC_d9	wt_96h_CHiC_d9
chr2	75060000	75061000	0.510919752067366	0.591807239381877	0.657644503917076	0.76010577330888	0.661257665912983	0.70944940500544
chr2	75061000	75062000	0.544760997572516	0.749255192656544	0.586165149536567	0.71376788888429	0.684364935304005	0.776953745816968
chr2	75062000	75063000	0.843181629661479	0.899101162199344	0.719905225819442	0.737444945656207	0.702654798457681	1.04067057968344
chr2	75063000	75064000	1.10739764320242	0.896815442566536	0.847661973563341	0.875251454522994	0.728927529511479	1.11492560983517
chr2	75064000	75065000	1.14958634921607	1.02516586673886	0.988659669412327	0.964182956181679	0.679745090522306	1.21031572691879
chr2	75065000	75066000	1.03069328178187	1.1017410933553	1.02624966539869	0.86358809850813	0.672254485012182	1.1178587433638
chr2	75066000	75067000	0.902911556555432	1.02518562096956	0.924385038750239	0.684979733156542	0.564547649774851	0.876749663070199
chr2	75067000	75068000	0.710120446808687	0.922801350046689	0.898721091803649	0.590449099223122	0.523156811488066	0.631015218525258
chr2	75068000	75069000	0.547813171913082	0.943092738958207	0.887002968441147	0.565796816539451	0.536381096563722	0.621651547869032
chr2	75069000	75070000	0.550945157091242	0.859024969345014	0.823868791800395	0.541224863931697	0.547209108085493	0.51513002781061
chr2	75070000	75071000	0.650864545271883	0.875099154065093	0.663158226587161	0.566026110013605	0.543312768230713	0.57086177923966
chr2	75071000	75072000	0.637000405525128	0.894132475331996	0.70385480625032	0.632174463038952	0.5453740527989	0.657308583312854
chr2	75072000	75073000	0.512603166455753	0.919539886251458	0.654607775328445	0.637780524147767	0.465630856770016	0.594814582213007
chr2	75073000	75074000	0.378757481547246	0.816213299839774	0.561561619137483	0.518573908241191	0.412943339241913	0.596617411585209
chr2	75074000	75075000	0.420257491225907	0.719839110518097	0.504464710420959	0.505649027334757	0.444606512076246	0.71532018813891
chr2	75075000	75076000	0.52154037126763	0.682065896672978	0.511950658985598	0.489557720946371	0.433278410850654	0.720888057191655
chr2	75076000	75077000	0.596272249357339	0.555348253902971	0.48986487357224	0.435086623350816	0.459846107329193	0.679224149929826
chr2	75077000	75078000	0.776073117019499	0.562816069466037	0.537854056746568	0.420984100397819	0.565664381994574	0.743060253273776
chr2	75078000	75079000	0.961077422623678	0.622487511129885	0.589078252627193	0.463879291338017	0.563460217770939	0.804644088101518
chr2	75079000	75080000	1.03463476702985	0.742876240970781	0.65573497339926	0.439454029230733	0.610839331102588	0.782346745864172
chr2	75080000	75081000	0.846559523498908	0.621474925604762	0.63781552325522	0.394533694133026	0.625695685771059	0.698146000352733
chr2	75081000	75082000	0.707780440255798	0.630399915217224	0.573168368539839	0.391249704977245	0.59776380347623	0.606886064475627
chr2	75082000	75083000	0.717756821994404	0.789557908260996	0.645609208168298	0.36665219153284	0.598020890428256	0.582030358305203
chr2	75083000	75084000	0.678985844418789	0.903926987324206	0.626637266507954	0.325262809126224	0.703155485978596	0.484180688410194
chr2	75084000	75085000	0.602715061510361	1.04130142133025	0.649728032724251	0.328614425386998	0.649660442215826	0.424915915554482
chr2	75085000	75086000	0.828361024966137	1.03798075312984	0.67771121991216	0.333367850347379	0.580378838730761	0.534614571759475
chr2	75086000	75087000	1.01582444354179	0.996871652684219	0.92740507475705	0.316027941865268	0.576006293744823	0.767221907492232
chr2	75087000	75088000	0.878190933844537	0.777322029132452	0.748420694011582	0.295644460417767	0.450579980522142	0.825425141813003
chr2	75088000	75089000	0.817691614958792	0.679467884998178	0.757162079662233	0.393013116451263	0.3168300273416	0.929335959693092
chr2	75089000	75090000	0.88513626116463	0.418124259848538	0.685422397068858	0.397557743686975	0.290871072214383	0.966523252592468
chr2	75090000	75091000	0.731046537690667	0.712085206575221	0.733960956296488	0.433440592683141	0.387007070235549	0.93652180209579
chr2	75091000	75092000	0.730298096114502	0.917998034584664	0.649958209431317	0.472427724407635	0.409292489952617	0.86522797331493
chr2	75092000	75093000	0.966834360037968	0.990556282260226	0.832942013730314	0.535292328391611	0.512852765763178	0.819285623586755
chr2	75093000	75094000	0.952025122732748	1.03245280205538	0.978750898440418	0.453057486875	0.619050336747067	0.877591007740751
chr2	75094000	75095000	0.965617645763281	1.15251116469457	0.991498759697402	0.375044267697495	0.710329660448928	0.894571621096607
