#'chr'	'start'	'end'	'wt_108h_H3K27ac_reptc_Normalized.bigwig'	'wt_120h_H3K27ac_reptc_Normalized.bigwig'	'wt_132h_H3K27ac_reptc_Normalized.bigwig'	'wt_144h_H3K27ac_reptc_Normalized.bigwig'	'wt_168h_H3K27ac_reptc_Normalized.bigwig'	'wt_48h_H3K27ac_reptc_Normalized.bigwig'	'wt_72h_H3K27ac_reptc_Normalized.bigwig'	'wt_84h_H3K27ac_reptc_Normalized.bigwig'	'wt_96h_H3K27ac_reptc_Normalized.bigwig'
chr2	73941492	74652676	1.4381262874203689	1.9961931213235036	1.907054527195246	2.375823296983238	1.5868877052423287	2.5599658846898454	1.6483877188531677	1.3456029225141868	1.7431928804552377
chr2	73966437	73996924	2.0065838888077985	3.067138925706086	2.609895422442349	3.8504181373446142	2.6723832621286068	1.962882470521712	2.976900082156578	1.8021422101683071	2.325070645943247
chr2	74112778	74138692	1.6444219863112592	2.8861212267502903	2.9658590898300963	4.133110348034934	2.5356408081987736	13.234824569344038	5.2384441208791666	3.2454691276626515	3.30223625343196
chr2	74169689	74209830	2.186297388817462	2.5420262402304155	2.576268626019122	3.4294163613183106	2.0967071492325187	2.8591471207441437	1.2449614688512258	1.3008402772474914	2.167698683473695
chr2	74395806	74414606	2.344081202716204	5.225542824329139	5.233260240082787	5.359921131010198	2.040650645285251	1.4336712479250338	0.884789187630159	1.2828764740424066	2.892360062152187
chr2	74667082	74768436	32.88869725995063	30.787808257105233	31.568040522512366	42.41757287950899	54.63235410020719	2.5266579567437724	5.304331353645811	8.905965546845648	23.239276644085432
chr2	74778613	75154281	4.663587833070029	4.811139802391991	4.73044822327416	4.6413856273474146	3.2141784039525	1.9911120973655572	2.1090752237987958	2.0736157475475245	3.2311787077861616
chr2	74778613	75613975	3.0826269639795076	3.594956588585201	3.4096211640623544	3.779675542728193	2.383175964797272	1.8358412902111358	1.590862362516212	1.5067523559033729	2.182522841997343
chr2	74882338	74941788	7.216814052785304	6.177443271642993	4.525787371686431	4.655343599445707	2.465851704346619	1.498628767762384	1.8758100553947528	1.6226366478889287	2.5104397092261577
chr2	74952051	74982792	4.513678762637989	4.590110146071122	5.068894595698136	5.783941781488871	4.88929902887084	1.9535669451708018	1.0193080163941557	1.3715859551939642	2.66415689360288
chr2	75003019	75021310	3.349079990493747	3.7052816069888737	4.307277523532558	5.031534191360841	2.4842747254241178	1.7656320728432116	0.9962571155125665	1.1736769404996028	4.579213511379548
chr2	75045193	75073648	7.0144077981711686	6.2213012677404596	7.127166239501467	7.16878689545687	4.281715782731949	2.2232494744911966	2.2755704765090896	2.007088052407695	6.177885079530938
chr2	75079746	75099054	9.317736275578348	12.607098476907176	11.084900109094804	9.112309946974639	7.115398241008774	0.9655906105952217	1.0115872905348133	2.670511021990168	2.806970542156901
chr2	75127510	75150375	3.114776713732946	4.406011442436611	4.450672455823215	5.451414210056268	5.416499135706884	0.767971348231656	1.0717502906758274	1.0460112791211207	1.8783657012510186
chr2	75154281	75613975	1.7208398624827452	2.5387793875064033	2.2932659863324094	3.0503532357694154	1.677624571608869	1.7059904438211162	1.1557278865553824	1.0079278316230216	1.261810089530603
