#'chr'	'start'	'end'	'wt_108h_PolII_Normalized.bigwig'	'wt_120h_PolII_Normalized.bigwig'	'wt_132h_PolII_Normalized.bigwig'	'wt_144h_PolII_Normalized.bigwig'	'wt_168h_PolII_Normalized.bigwig'	'wt_72h_PolII_Normalized.bigwig'	'wt_84h_PolII_Normalized.bigwig'	'wt_96h_PolII_Normalized.bigwig'
chr2	74667374	74677420	0.7744769472709039	0.3823780369431845	0.6463952788607367	1.1542882158490708	3.5413458287131974	1.4352679388007983	1.1751666696056646	1.640113883426228
chr2	74677420	74687467	0.6467027855175793	0.317356112003407	1.1473609823301874	3.6530598689536675	13.964662411603125	1.2509615060157353	0.5450786349765058	1.6430634564689084
chr2	74687467	74697514	4.430773296749577	11.69207460828681	7.45840186009635	19.829430318926835	24.821158642150447	1.7267111188603734	0.601066730763665	3.542850190571589
chr2	74697514	74707561	27.582593765759274	43.019607059979684	43.5634805659177	51.41277567398028	54.57581205127891	1.9341775942315484	4.351384217169439	18.38948263267701
chr2	74707561	74717608	22.540627740835717	32.45830275674252	41.174779862786096	41.96635082408596	36.88094702139903	1.0232235375189778	3.171613934743954	19.252642038798314
chr2	74717608	74727654	9.220970542465794	11.65386335746515	9.778451786646055	15.679756612161315	12.659201663231856	0.9235159093100432	2.5124965418600578	12.643172551126836
chr2	74727654	74737701	25.73577280310281	24.797281358187373	21.722853968967023	25.621294046510343	27.269794904622103	1.2283622827801757	3.259246729147872	29.237274324718072
chr2	74737701	74747748	19.5937320501366	23.278980877613787	26.01427795849836	27.598858114663816	26.670092924623265	1.181735287122619	4.671340595918579	21.31372398188274
chr2	74747748	74757795	11.347573626107005	18.50329280042599	19.989745099696542	19.555556878618297	17.79970430669844	4.53978161780582	7.15791469461047	11.995609957042939
chr2	74757795	74767842	16.9187586770298	13.209198775486222	8.61395354098144	9.677914015386461	7.43199907691005	2.78411852720332	4.209376438733202	13.538657219250252
