#'chr'	'start'	'end'	'wt_108h_H3K27ac_reptc_Normalized.bigwig'	'wt_120h_H3K27ac_reptc_Normalized.bigwig'	'wt_132h_H3K27ac_reptc_Normalized.bigwig'	'wt_144h_H3K27ac_reptc_Normalized.bigwig'	'wt_168h_H3K27ac_reptc_Normalized.bigwig'	'wt_48h_H3K27ac_reptc_Normalized.bigwig'	'wt_72h_H3K27ac_reptc_Normalized.bigwig'	'wt_84h_H3K27ac_reptc_Normalized.bigwig'	'wt_96h_H3K27ac_reptc_Normalized.bigwig'
chr2	74667374	74677420	0.4638714986533878	1.258924047490064	1.141820929201367	1.7985013687484006	3.898820411512699	2.630876213097565	4.472330848073324	2.9239389523913144	0.9725857541740672
chr2	74677420	74687467	1.5874171783155884	0.861128316678967	3.6390893278872127	8.382689611769749	27.12466302203399	3.7271351174443295	6.370638692716114	3.4463551113105475	2.0354993088304396
chr2	74687467	74697514	4.7557830678550115	10.444608569979094	16.4530344980479	40.54596162956456	73.28182718737865	2.221750511042029	4.7346037780531125	4.258536698253668	2.6188695666838737
chr2	74697514	74707561	23.241484865270586	33.57486549688777	53.06427093090979	73.89054178711154	99.18612205403682	1.5739851366056028	6.225340471053634	7.285543265236144	10.006357342115516
chr2	74707561	74717608	35.12997543748375	42.31402763806993	47.610980915240184	66.82869662304027	73.28351280120998	1.8752909245901137	3.1036328521683414	5.763915479445337	20.3972664542784
chr2	74717608	74727654	42.02223693664959	33.19775487457982	38.56125729116766	54.65386877492693	63.70830663051909	3.53377773338557	2.7023046765472025	14.385291729459453	49.53762382111761
chr2	74727654	74737701	104.24157285390575	88.09598433360463	77.14093911137726	84.91310728343933	104.07919736147386	3.9180382070111457	6.459405918799059	18.611970478625405	65.485403749559
chr2	74737701	74747748	61.34513681057354	54.18294361494928	49.329101283051685	54.234414442810476	61.35694869419036	2.5814809956591223	5.444299451031735	16.37807310153956	44.44896248895537
chr2	74747748	74757795	30.283049795321443	29.711687549002022	29.02681836987726	33.49633803202953	38.72980514071989	2.8110389947753682	10.074521937796728	13.261106970278922	20.895473407051092
chr2	74757795	74767842	16.080043954888396	11.404075877997332	10.42842090613819	11.016562493675432	9.113415399668417	1.101839407419698	10.377846423444032	8.510106322729342	21.476835028060638
