#'chr'	'start'	'end'	'wt_108h_RAD21_Normalized.bigwig'	'wt_132h_RAD21_Normalized.bigwig'	'wt_144h_RAD21_Normalized.bigwig'	'wt_168h_RAD21_Normalized.bigwig'	'wt_72h_RAD21_Normalized.bigwig'	'wt_84h_RAD21_Normalized.bigwig'	'wt_96h_RAD21_Normalized.bigwig'
chr2	74964131	74964973	145.31507702281527	202.36320918755973	158.84033295547593	66.41369986137698	52.52243030363855	105.92322849717672	133.28639416003736
chr2	75055034	75055774	86.22230836507437	93.22877476924174	66.10733867078214	52.257825347539544	14.494361614214407	30.83610579129812	72.23066118085707
chr2	75137773	75138573	155.73861115455628	169.44808178901673	166.3671502685547	139.0272218132019	70.0252550538381	88.0619987297058	116.86736922740937
chr2	75150516	75151378	63.935086418055604	58.14507962490179	62.67183912104631	32.32746694314784	23.82141112723809	33.86172230503675	53.153147050233564
chr2	75152248	75153070	83.37454142187633	75.24278521479772	71.62815341346165	36.07340055312554	15.788183226202527	45.2385814085494	68.30618622819293
chr2	75311996	75312870	76.68291740941237	93.73980795382363	92.11516754141661	53.50348456227807	35.27682521447227	63.71261855066505	69.83839593271915
chr2	75588322	75589177	134.18616937113086	155.66887369434735	142.15504739772507	56.22584544845492	66.10647941983467	122.36420780650356	140.06173561051574
chr2	75589949	75590821	92.46248701679598	90.61766473306429	83.50636074739859	60.462568222929576	59.602388154410725	88.06748827444304	94.04232754619844
chr2	75605497	75606341	174.20902917961374	189.16473303699945	184.98769905668865	102.22464930276735	105.65447817255536	185.28907121414258	162.86489023868506
chr2	75780897	75781730	144.64093260747902	142.1082128224825	142.49348418566646	85.51310066644456	74.15022799738792	102.9147840628103	126.99552923891724
chr2	75785902	75786718	157.62486281114465	211.6533425508761	171.86880765241736	100.33786248225792	62.203651019171176	117.26607370610331	135.99050468557022
